order	dataset_id	cluster_id	cluster_name	sample_id	gene_symbol	entrez_geneid	FBgn	avg_logFC	pct1	pct2	p_value	padj	other_value	other_value_type	rank	source_gene_info	rank_text
1665209	98	2	Crystal_cell	all	LanB2	39118	FBgn0267348	-0.99	0.25	0.80	1.90662e-04	1.00	NULL	NULL	NULL	gene symbol	
1665210	98	2	Crystal_cell	all	CG1572	32098	FBgn0030309	-1.32	0.33	0.89	9.35e-06	0.07	NULL	NULL	NULL	gene symbol	
1665211	98	2	Crystal_cell	all	fat-spondin	36919	FBgn0026721	-0.83	0.33	0.89	8.36e-05	0.65	NULL	NULL	NULL	gene symbol	
1665212	98	2	Crystal_cell	all	Hsc70-3	32133	FBgn0001218	-0.78	0.41	0.98	1.25994e-04	0.98	NULL	NULL	NULL	gene symbol	
1665213	98	2	Crystal_cell	all	luna	2768719	FBgn0040765	-0.80	0.33	0.90	7.78e-05	0.60	NULL	NULL	NULL	gene symbol	
1665214	98	2	Crystal_cell	all	HmgD	37481	FBgn0004362	-1.09	0.16	0.73	1.04742e-04	0.81	NULL	NULL	NULL	gene symbol	
1665215	98	2	Crystal_cell	all	RhoL	41136	FBgn0014380	-0.91	0.16	0.73	3.65514e-04	1.00	NULL	NULL	NULL	gene symbol	
1665216	98	2	Crystal_cell	all	Mlc-c	31474	FBgn0004687	-1.20	0.33	0.90	3.26e-06	0.02	NULL	NULL	NULL	gene symbol	
1665217	98	2	Crystal_cell	all	CG31337	318688	FBgn0051337	-0.81	0.33	0.90	1.120125e-03	1.00	NULL	NULL	NULL	gene symbol	
1665218	98	2	Crystal_cell	all	CG33129	34514	FBgn0053129	-0.57	0.33	0.90	5.59748e-04	1.00	NULL	NULL	NULL	gene symbol	
1665219	98	2	Crystal_cell	all	PyK	42620	FBgn0267385	-0.79	0.16	0.74	1.264826e-03	1.00	NULL	NULL	NULL	gene symbol	
1665220	98	2	Crystal_cell	all	Crc	41166	FBgn0005585	-0.80	0.41	0.99	6.53513e-04	1.00	NULL	NULL	NULL	gene symbol	
1665221	98	2	Crystal_cell	all	Npc2a	33374	FBgn0031381	-1.38	0.41	0.99	7.74e-07	6.035317e-03	NULL	NULL	NULL	gene symbol	
1665222	98	2	Crystal_cell	all	Alg-2	3355106	FBgn0086378	-1.16	0.25	0.83	2.26e-05	0.17	NULL	NULL	NULL	gene symbol	
1665223	98	2	Crystal_cell	all	Gdh	42832	FBgn0001098	-1.41	0.33	0.92	1.63e-06	0.01	NULL	NULL	NULL	gene symbol	
1665224	98	2	Crystal_cell	all	alt	42127	FBgn0038535	-0.80	0.33	0.92	4.63369e-04	1.00	NULL	NULL	NULL	gene symbol	
1665225	98	2	Crystal_cell	all	CG5885	34314	FBgn0025700	-1.06	0.00	0.59	2.27425e-04	1.00	NULL	NULL	NULL	gene symbol	
1665226	98	2	Crystal_cell	all	NimC3	48772	FBgn0001967	-0.74	0.25	0.84	6.25826e-04	1.00	NULL	NULL	NULL	gene symbol	
