"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.73910060656989e-84,-0.372044841387652,0.315,0.505,2.84647335034743e-80,"PM1","GstE6"
5.90815560138239e-84,-0.224778255944526,0.195,0.365,6.13975530095657e-80,"PM1","CG44242"
7.53570894874041e-84,-0.24350947339295,0.224,0.402,7.83110873953104e-80,"PM1","SmF"
7.86445150657687e-84,-0.250021551560971,0.223,0.4,8.17273800563468e-80,"PM1","Rab8"
9.56577681048006e-84,-0.509347618493715,0.08,0.193,9.94075526145088e-80,"PM1","Debcl"
1.05213465104406e-83,-0.228850956155572,0.282,0.482,1.09337832936498e-79,"PM1","Snx6"
1.05483606988911e-83,-0.282501776102683,0.141,0.284,1.09618564382876e-79,"PM1","Phf5a"
1.75019295154605e-83,-1.07261409576668,0.073,0.177,1.81880051524665e-79,"PM1","Nrt"
2.77811045212247e-83,-0.325400350851245,0.343,0.542,2.88701238184567e-79,"PM1","Nph"
2.92750918255532e-83,-0.215600512679834,0.245,0.435,3.04226754251149e-79,"PM1","Usp14"
3.6570139822886e-83,-0.316952543437691,0.139,0.281,3.80036893039431e-79,"PM1","CG10103"
3.70471897538366e-83,-0.192255423167077,0.182,0.346,3.8499439592187e-79,"PM1","Atx2"
5.6528520969926e-83,-0.30497264955044,0.404,0.618,5.87444389919471e-79,"PM1","CG1890"
8.95230130973144e-83,-0.380927424052561,0.106,0.232,9.30323152107291e-79,"PM1","Csk"
9.2187189224545e-83,-0.531983576196315,0.106,0.229,9.58009270421472e-79,"PM1","CG34423"
1.0960696770731e-82,-0.270952479800172,0.179,0.339,1.13903560841436e-78,"PM1","mge"
1.54840312765614e-82,-0.187735290343323,0.22,0.398,1.60910053026026e-78,"PM1","Su(Tpl)"
2.86332419833384e-82,-0.353360320399793,0.118,0.249,2.97556650690853e-78,"PM1","CG32425"
4.29218751202652e-82,-0.250987496680643,0.244,0.428,4.46044126249796e-78,"PM1","gish"
4.43446415873413e-82,-0.660021635802006,0.074,0.181,4.60829515375651e-78,"PM1","CG32369"
9.12669801478666e-82,-0.538544585972772,0.083,0.195,9.4844645769663e-78,"PM1","Nhe2"
1.01375377076119e-81,-0.208540555137319,0.213,0.386,1.05349291857503e-77,"PM1","Khc"
1.70823603551754e-81,-0.283847499378389,0.128,0.265,1.77519888810983e-77,"PM1","Fnta"
1.77943628703407e-81,-0.318365261167599,0.212,0.379,1.8491901894858e-77,"PM1","CG10638"
2.00207165482167e-81,-0.420755811868834,0.113,0.239,2.08055286369068e-77,"PM1","olf186-F"
3.70762679634581e-81,-0.236769746266031,0.156,0.304,3.85296576676256e-77,"PM1","Klc"
4.11097224432067e-81,-1.33468393046862,0.035,0.119,4.27212235629805e-77,"PM1","CG10126"
4.47953973633502e-81,-0.19312497598284,0.282,0.485,4.65513769399935e-77,"PM1","Rpn6"
9.17392993839033e-81,-0.26805872817455,0.329,0.534,9.53354799197523e-77,"PM1","cpa"
1.18997541575728e-80,-0.292698830030399,0.263,0.444,1.23662245205496e-76,"PM1","vib"
1.29708715879852e-80,-0.194487372897015,0.267,0.463,1.34793297542342e-76,"PM1","ND-MWFE"
1.44383053408702e-80,-0.466035623181606,0.166,0.308,1.50042869102323e-76,"PM1","CG42674"
1.48824458178786e-80,-1.82904300231885,0.16,0.288,1.54658376939395e-76,"PM1","alphaTub85E"
1.66259930282207e-80,-0.382564361459121,0.096,0.214,1.7277731954927e-76,"PM1","YME1L"
2.29739793706506e-80,-0.352857418116219,0.176,0.327,2.38745593619801e-76,"PM1","sd"
2.8222981281607e-80,-0.211966042214481,0.254,0.444,2.9329322147846e-76,"PM1","CG6115"
2.82918901850787e-80,-0.52097522970771,0.084,0.197,2.94009322803338e-76,"PM1","Archease"
2.83419820526323e-80,-0.206711687518666,0.211,0.386,2.94529877490955e-76,"PM1","Cdc37"
3.37692004940333e-80,-0.203048596566125,0.197,0.364,3.50929531533994e-76,"PM1","nudC"
3.40953045760138e-80,-0.419592259772984,0.103,0.225,3.54318405153936e-76,"PM1","NKAIN"
3.93280095383947e-80,-2.24463982244823,0.016,0.084,4.08696675122998e-76,"PM1","pyr"
4.06112180099029e-80,-0.651047663025127,0.136,0.263,4.22031777558911e-76,"PM1","Hsp68"
4.167321635873e-80,-0.62987834593188,0.118,0.242,4.33068064399922e-76,"PM1","CG17841"
1.18507816904781e-79,-0.23543422014309,0.31,0.513,1.23153323327449e-75,"PM1","Pak3"
1.60505670996609e-79,-0.206833126127291,0.139,0.279,1.66797493299676e-75,"PM1","muc"
1.63027480769346e-79,-0.297433276329488,0.147,0.289,1.69418158015505e-75,"PM1","Nxt1"
1.75606798163281e-79,-0.212445260875872,0.284,0.48,1.82490584651281e-75,"PM1","CG9917"
1.81975970860209e-79,-0.26530896206297,0.442,0.667,1.8910942891793e-75,"PM1","capt"
1.83625282067033e-79,-0.173168059494952,0.179,0.336,1.90823393124061e-75,"PM1","pod1"
2.00986085833851e-79,-0.501530130565751,0.079,0.187,2.08864740398538e-75,"PM1","InR"
2.20320011556347e-79,-0.330870457563787,0.105,0.227,2.28956556009355e-75,"PM1","CG10055"
2.57102693076038e-79,-0.284255495190445,0.159,0.305,2.67181118644619e-75,"PM1","Lis-1"
4.46166922903709e-79,-0.290359594454115,0.136,0.274,4.63656666281535e-75,"PM1","CG14894"
4.89541598240944e-79,-0.275495340585015,0.109,0.232,5.08731628891989e-75,"PM1","CG4101"
5.23902541804031e-79,-1.13913010623675,0.038,0.122,5.44439521442749e-75,"PM1","CG7956"
6.27837445581878e-79,-0.418783385672672,0.075,0.182,6.52448673448687e-75,"PM1","EMC8-9"
6.39180230821732e-79,-0.257213862970335,0.333,0.538,6.64236095869944e-75,"PM1","Hsc70Cb"
7.17272391215944e-79,-0.393881028911989,0.163,0.307,7.45389468951609e-75,"PM1","betaTub97EF"
1.09360330510072e-78,-1.35114810021777,0.085,0.188,1.13647255466067e-74,"PM1","mthl4"
1.11168259465632e-78,-0.617471982957165,0.304,0.482,1.15526055236685e-74,"PM1","RapGAP1"
1.31163889613141e-78,-0.162982704670904,0.198,0.365,1.36305514085976e-74,"PM1","CG17202"
1.57600772448493e-78,-0.128485166993738,0.252,0.445,1.63778722728474e-74,"PM1","und"
1.75509202579936e-78,-0.197222072891968,0.181,0.339,1.82389163321069e-74,"PM1","CG34132"
2.00160451768735e-78,-0.219768547630661,0.132,0.268,2.0800674147807e-74,"PM1","CG9253"
2.99400082037142e-78,-0.20495796969224,0.183,0.34,3.11136565252998e-74,"PM1","Vps28"
5.55675454123825e-78,-0.440476630319488,0.142,0.276,5.77457931925479e-74,"PM1","CG31431"
7.48831904414388e-78,-0.270796097102474,0.113,0.238,7.78186115067432e-74,"PM1","CG6878"
8.27868595559e-78,-0.156494030195283,0.229,0.407,8.60321044504913e-74,"PM1","Sep2"
1.34926260617518e-77,-0.144385674443662,0.225,0.402,1.40215370033725e-73,"PM1","Sec63"
1.40470301296394e-77,-0.20548544269016,0.215,0.386,1.45976737107213e-73,"PM1","CG17734"
1.42496898907882e-77,-0.15388037825788,0.248,0.434,1.48082777345071e-73,"PM1","Ssb-c31a"
2.13815516654094e-77,-0.184864524657615,0.239,0.421,2.22197084906934e-73,"PM1","Rpn11"
2.98105717156289e-77,-0.203127956084783,0.321,0.53,3.09791461268816e-73,"PM1","Rab7"
3.00004596975589e-77,-0.330033909843837,0.351,0.56,3.11764777177032e-73,"PM1","CG13887"
3.9599651729605e-77,-0.466572763793469,0.161,0.298,4.11519580774055e-73,"PM1","trio"
4.29620542238207e-77,-0.350221002129543,0.239,0.413,4.46461667493945e-73,"PM1","BI-1"
4.34396060289632e-77,-0.273740551861294,0.131,0.263,4.51424385852986e-73,"PM1","Pde8"
4.59862544031958e-77,-0.200853867334677,0.387,0.61,4.77889155758011e-73,"PM1","bel"
5.59263993767015e-77,-0.236866987428326,0.251,0.433,5.81187142322682e-73,"PM1","PHGPx"
1.21735258690995e-76,-0.332171480540809,0.861,0.953,1.26507280831683e-72,"PM1","alphaTub84B"
1.90446870240362e-76,-0.23754519039684,0.343,0.557,1.97912387553785e-72,"PM1","Cyt-b5"
2.32723111561252e-76,-0.209649241389054,0.278,0.463,2.41845857534453e-72,"PM1","lncRNA:CR42862"
2.94565971438827e-76,-0.200352191274477,0.211,0.378,3.06112957519229e-72,"PM1","ics"
3.03355535618708e-76,-0.184005283498227,0.249,0.432,3.15247072614962e-72,"PM1","Cip4"
3.11255601848675e-76,-0.20761680504836,0.192,0.351,3.23456821441143e-72,"PM1","mbc"
3.67026747958655e-76,-0.269200848862298,0.113,0.238,3.81414196478634e-72,"PM1","mRpL36"
4.72501785191566e-76,-0.244876101893568,0.137,0.272,4.91023855171075e-72,"PM1","Pax"
4.83721341797482e-76,-0.364686211809399,0.127,0.254,5.02683218395943e-72,"PM1","CG8545"
6.75427143882301e-76,-0.155216496001386,0.235,0.413,7.01903887922487e-72,"PM1","robl"
6.83395675695062e-76,-0.211700993280672,0.172,0.323,7.10184786182308e-72,"PM1","CG10674"
1.27051126370266e-75,-0.207355220924068,0.167,0.315,1.32031530523981e-71,"PM1","AP-1sigma"
1.49671519873103e-75,-0.251541427342373,0.402,0.621,1.55538643452129e-71,"PM1","CCT4"
1.55878687903054e-75,-0.240135720133431,0.13,0.261,1.61989132468854e-71,"PM1","CG42806"
1.75996099002595e-75,-0.219896488737502,0.208,0.37,1.82895146083497e-71,"PM1","CG7637"
1.81411514355838e-75,-0.49682694797183,0.082,0.189,1.88522845718587e-71,"PM1","nmo"
2.03235666099713e-75,-0.243253527524547,0.412,0.637,2.11202504210822e-71,"PM1","cer"
2.04306695202454e-75,-0.100496642502476,0.215,0.389,2.1231551765439e-71,"PM1","Sgt"
3.37173065947413e-75,-0.477186502399585,0.125,0.251,3.50390250132552e-71,"PM1","ref(2)P"
4.15316948489918e-75,-0.248096573669118,0.121,0.248,4.31597372870723e-71,"PM1","CG7394"
5.99589208147292e-75,-0.233395347474465,0.357,0.569,6.23093105106666e-71,"PM1","Pomp"
6.30057978812726e-75,-0.269800723303997,0.144,0.28,6.54756251582185e-71,"PM1","TfIIA-S"
6.52615755976497e-75,-0.180076331763033,0.214,0.384,6.78198293610775e-71,"PM1","Tim23"
7.01145085729949e-75,-0.213949543313853,0.177,0.328,7.28629973090563e-71,"PM1","CG17059"
7.18996204892163e-75,-0.274862575476732,0.106,0.225,7.47180856123935e-71,"PM1","CG4968"
7.5088987655501e-75,-0.384768047758707,0.094,0.206,7.80324759715967e-71,"PM1","CG4806"
7.66588875146827e-75,-0.550793895709111,0.057,0.15,7.96639159052583e-71,"PM1","RasGAP1"
7.98469522457924e-75,-0.14578986028721,0.195,0.357,8.29769527738274e-71,"PM1","Rop"
1.02964702343914e-74,-0.224400998563284,0.138,0.272,1.07000918675795e-70,"PM1","mRpL55"
1.04316142329666e-74,-0.348572960722393,0.24,0.403,1.08405335108989e-70,"PM1","CG8177"
1.09145971656376e-74,-0.177441944924376,0.148,0.287,1.13424493745306e-70,"PM1","CG12004"
1.38052243659382e-74,-0.42349085158681,0.075,0.178,1.43463891610829e-70,"PM1","msd1"
1.44813471182072e-74,-0.242435719808431,0.201,0.361,1.5049015925241e-70,"PM1","lace"
1.4611646332665e-74,-0.187886352681798,0.248,0.428,1.51844228689055e-70,"PM1","CG5214"
1.71615936163243e-74,-0.177340454749261,0.125,0.253,1.78343280860842e-70,"PM1","opm"
2.23926867791179e-74,-0.231371908210557,0.324,0.53,2.32704801008593e-70,"PM1","Prosalpha2"
2.60075867935503e-74,-0.149593113063782,0.17,0.319,2.70270841958575e-70,"PM1","HP4"
3.23447793985599e-74,-0.211213080588754,0.329,0.534,3.36126947509834e-70,"PM1","NAT1"
3.25715467826326e-74,-0.473710354505608,0.101,0.216,3.38483514165118e-70,"PM1","Pglym78"
4.32529726560062e-74,-0.250234532942793,0.121,0.247,4.49484891841217e-70,"PM1","CG7945"
4.90617397485609e-74,-0.571561763435789,0.172,0.302,5.09849599467045e-70,"PM1","CG43210"
4.91795472777365e-74,-0.386398078378782,0.091,0.202,5.11073855310238e-70,"PM1","Wdr62"
5.21037983631254e-74,-0.183737369448981,0.209,0.372,5.41462672589599e-70,"PM1","Vps60"
